product_name,predicted_cat,predicted_sub_cat,error
Zovi Black Cotton T-Shirt (Size-XL) | Zovi Blue Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Pool Blue Solid Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Jeans (Size-32),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Purple Solid Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi White Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Womens Surprise Top (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Brown Striped Formal Trousers (Size-32),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Quiksilver Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Full Sleeve Solid Men's Fleece Jacket Jacket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Umbro Solid Men's Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Casual Sleeveless Printed Women's Top,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Adidas Solid Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Style Quotient by Noi Women's Checkered Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Sneakers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Fila Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Levi's Sleeveless Solid Men's Jacket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Reebok Solid Women's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Indian Green Solid Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Mad Scientist Brown Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Yellow Jersey T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Sunset Yellow Sleeveless T-Shirt With Blue Hoodie,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Solid Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Cotton T-Shirt (Size-XXL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Solid Cotton Casual Shirts For Men's (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Jeans (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Striped Formal Trousers (Size-30),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
High Star Slim Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Honey by Pantaloons Printed Women's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Straight Fit Black Striped Formal Trousers (Size-36),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Lord Shiva Navy Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lawman Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Global Nomad Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Straight Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Solid Green Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Jeans (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Poplin Casual Shirt (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi India Postage Blue Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Pepe Jeans Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Lord Shiva Navy Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Slim Fit Jeans (Size-36),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Wrangler Low Rise-Slim Fit-Narrow Leg Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Allen Solly Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi White Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Solid Green Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Cactus Green Solid Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Straight Fit Black Striped Formal Trousers (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Green Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Brown Cotton Casual Shirt (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
U.S.Polo.Assn Skinny Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Indian Green Solid Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Striped Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton Slim Fit Jeans (Size-30),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Jeans (Size-36),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Proline Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Live To Ride Olive Green Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Brown Striped Formal Trousers (Size-32),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton Slim Fit Jeans (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Medium Blue Denims Mens Jeans (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Dove Grey Melange Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Yellow Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Polyester Formal Trouser (Size-30),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Lord Shiva Navy Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Grey Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Jazz Up Black Graphic T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Indian Green Solid Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi White Cotton T-Shirt (Size-M) | Zovi White Cotton T-Shirt (Size-S),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Straight Fit Black Striped Formal Trousers (Size-32),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Black Cotton T-Shirt (Size-XL),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Straight Fit Black Striped Formal Trousers (Size-34),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi White Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Blue Cotton T-Shirt (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Zovi Red Cotton T-Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Diamond Black Formal Shoes (Size-7),Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
